iter	RMSE
0	72124.25242
1	65406.09979
2	60054.45288
3	55821.37781
4	52382.6997
5	48730.04698
6	45823.31332
7	43352.25988
8	41203.48663
9	39507.18673
10	38142.39738
11	36864.7318
12	35408.28578
13	34388.93572
14	33123.5016
15	32694.30243
16	32063.22716
17	31883.34676
18	31680.952
19	31203.54759
20	30673.99493
21	29894.17006
22	29860.81829
23	29479.48885
24	29417.06879
25	29338.15298
26	29167.28997
27	28629.68121
28	28538.76675
29	27985.43639
30	27809.75669
31	27712.38582
32	27220.74952
33	27095.55055
34	27067.47554
35	26950.88593
36	26401.24267
37	26325.37279
38	26290.53019
39	26193.66699
40	26110.80998
41	26072.10665
42	25589.54164
43	25259.64462
44	25168.90378
45	25136.62096
46	25066.86442
47	25017.72755
48	24916.48816
49	24606.01931
50	24201.02338
51	23713.70354
52	23653.43053
53	23602.08991
54	23190.89689
55	22872.90176
56	22669.91246
57	22278.21332
58	22071.66967
59	21721.66002
60	21669.62488
61	21393.74271
62	21327.65309
63	21282.70027
64	21242.54456
65	21198.11063
66	21133.29517
67	20880.4373
68	20831.3487
69	20678.3639
70	20515.17762
71	20428.48235
72	20401.91006
73	20173.04968
74	20133.84241
75	20112.43848
76	20091.67416
77	19826.98001
78	19609.98311
79	19488.58129
80	19433.36609
81	19280.16129
82	19257.11934
83	19237.73622
84	19045.03074
85	19024.80847
86	19005.69918
87	18986.74048
88	18965.39183
89	18828.57856
90	18811.07291
91	18666.26604
92	18496.21582
93	18472.47696
94	18253.48068
95	18060.21952
96	17851.89428
97	17699.26463
98	17555.80446
99	17424.28295
100	17274.25077
101	17243.9765
102	17233.39868
103	17116.82867
104	17083.656
105	17041.96095
106	16934.54245
107	16916.05435
108	16903.6684
109	16841.21874
110	16834.46809
111	16708.48568
112	16682.18474
113	16659.23383
114	16609.22271
115	16590.61417
116	16464.24793
117	16458.16068
118	16435.37301
119	16295.70415
120	16270.07546
121	16202.727
122	16187.67248
123	16117.49775
124	16010.52295
125	15977.44932
126	15965.15796
127	15927.72229
128	15863.79272
129	15853.36334
130	15841.6186
131	15813.37609
132	15715.6284
133	15551.27359
134	15532.14691
135	15523.57847
136	15512.29808
137	15500.33392
138	15464.72942
139	15456.77287
140	15443.81473
141	15433.78847
142	15324.33473
143	15321.46441
144	15232.48391
145	15223.15652
146	15211.09271
147	15123.25533
148	15110.81711
149	15101.96421
150	15098.58812
151	15082.86692
152	15037.85715
153	15032.38674
154	15026.50223
155	14904.94771
156	14741.01533
157	14666.60994
158	14654.61462
159	14556.25311
160	14553.24735
161	14473.30605
162	14468.15455
163	14402.27796
164	14395.73274
165	14349.17128
166	14344.55057
167	14339.47388
168	14248.61305
169	14206.75354
170	14183.44157
171	14163.90094
172	14159.67834
173	14155.8745
174	14147.63821
