iter	Passed	Remaining
0	11	12803
1	22	12667
2	34	13129
3	46	13082
4	59	13325
5	70	13297
6	83	13367
7	94	13285
8	107	13433
9	119	13388
10	132	13491
11	144	13457
12	157	13556
13	169	13534
14	183	13603
15	195	13614
16	212	13939
17	224	13846
18	231	13540
19	243	13487
20	254	13451
21	267	13490
22	279	13436
23	292	13480
24	298	13211
25	307	13047
26	320	13091
27	331	13050
28	344	13072
29	355	13043
30	368	13071
31	377	12944
32	389	12955
33	398	12858
34	408	12789
35	415	12618
36	425	12581
37	437	12558
38	458	12833
39	473	12902
40	486	12915
41	499	12931
42	510	12894
43	523	12916
44	534	12894
45	544	12836
46	556	12823
47	568	12813
48	581	12821
49	592	12794
50	608	12875
51	622	12896
52	636	12939
53	647	12900
54	659	12888
55	670	12856
56	683	12867
57	694	12829
58	707	12846
59	719	12827
60	732	12834
61	743	12800
62	755	12793
63	766	12765
64	778	12755
65	789	12731
66	802	12737
67	814	12713
68	826	12711
69	838	12693
70	851	12705
71	862	12675
72	875	12677
73	886	12654
74	899	12657
75	911	12637
76	924	12646
77	936	12632
78	951	12662
79	963	12645
80	976	12646
81	987	12626
82	1000	12625
83	1012	12602
84	1024	12597
85	1035	12570
86	1048	12575
87	1060	12553
88	1072	12544
89	1084	12535
90	1096	12514
91	1108	12507
92	1120	12498
93	1132	12480
94	1145	12481
95	1157	12464
96	1170	12468
97	1182	12456
98	1197	12467
99	1208	12449
100	1242	12653
101	1257	12673
102	1286	12827
103	1301	12841
104	1317	12864
105	1335	12900
106	1351	12923
107	1369	12959
108	1384	12965
109	1402	13002
110	1417	13016
111	1435	13045
112	1451	13067
113	1471	13118
114	1488	13139
115	1508	13183
116	1523	13193
117	1542	13228
118	1559	13247
119	1576	13271
120	1593	13287
121	1617	13365
122	1630	13348
123	1644	13342
124	1656	13320
125	1671	13317
126	1683	13296
127	1714	13424
128	1727	13408
129	1740	13392
130	1753	13373
131	1766	13353
132	1780	13345
133	1792	13324
134	1824	13446
135	1837	13433
136	1852	13423
137	1864	13404
138	1879	13398
139	1892	13379
140	1906	13372
141	1919	13352
142	1932	13339
143	1945	13321
144	1959	13314
145	1973	13297
146	1988	13296
147	2000	13276
148	2014	13266
149	2027	13247
150	2041	13238
151	2055	13226
152	2068	13206
153	2082	13198
154	2095	13183
155	2109	13172
156	2121	13146
157	2152	13239
158	2164	13217
159	2178	13209
160	2192	13194
161	2207	13188
162	2218	13160
163	2232	13151
164	2245	13133
165	2260	13124
166	2272	13103
167	2287	13096
168	2300	13079
169	2314	13070
170	2327	13052
171	2342	13044
172	2353	13020
173	2367	13009
174	2380	12992
175	2394	12981
176	2407	12960
177	2421	12950
178	2434	12931
179	2448	12921
180	2461	12905
181	2477	12904
182	2490	12887
183	2504	12878
184	2517	12857
185	2530	12844
186	2543	12826
187	2558	12820
188	2570	12797
189	2583	12782
190	2600	12783
191	2615	12775
192	2629	12765
193	2641	12743
194	2655	12732
195	2666	12708
196	2681	12698
197	2693	12680
198	2708	12670
199	2720	12652
200	2735	12641
201	2747	12623
202	2762	12613
203	2774	12595
204	2788	12583
205	2800	12562
206	2814	12551
207	2827	12534
208	2842	12525
209	2853	12502
210	2867	12490
211	2879	12470
212	2894	12460
213	2906	12440
214	2920	12428
215	2932	12409
216	2946	12395
217	2959	12382
218	2978	12388
219	2991	12375
220	3004	12356
221	3018	12345
222	3030	12326
223	3045	12319
224	3058	12301
225	3072	12288
226	3085	12272
227	3100	12265
228	3113	12249
229	3127	12239
230	3140	12221
231	3154	12211
232	3167	12192
233	3180	12179
234	3193	12161
235	3207	12150
236	3220	12132
237	3234	12122
238	3247	12105
239	3261	12093
240	3274	12079
241	3289	12069
242	3301	12051
243	3315	12040
244	3327	12021
245	3342	12010
246	3355	11995
247	3370	11986
248	3382	11967
249	3396	11955
250	3409	11940
251	3424	11930
252	3436	11913
253	3451	11904
254	3463	11885
255	3478	11874
256	3491	11858
257	3505	11847
258	3517	11827
259	3530	11814
260	3543	11797
261	3557	11786
262	3570	11769
263	3585	11761
264	3599	11747
265	3614	11739
266	3626	11722
267	3640	11709
268	3652	11689
269	3678	11715
270	3691	11700
271	3705	11687
272	3718	11672
273	3732	11661
274	3744	11641
275	3758	11629
276	3771	11613
277	3785	11601
278	3797	11584
279	3812	11572
280	3824	11555
281	3838	11541
282	3850	11524
283	3865	11515
284	3879	11501
285	3893	11490
286	3906	11473
287	3920	11462
288	3933	11446
289	3948	11436
290	3960	11419
291	3975	11409
292	3987	11392
293	4019	11430
294	4033	11416
295	4047	11404
296	4060	11387
297	4079	11388
298	4091	11372
299	4106	11360
300	4118	11343
301	4133	11333
302	4146	11316
303	4160	11303
304	4172	11287
305	4187	11275
306	4199	11257
307	4212	11242
308	4225	11227
309	4238	11211
310	4269	11243
311	4282	11228
312	4297	11218
313	4310	11201
314	4325	11192
315	4338	11176
316	4352	11163
317	4365	11146
318	4379	11133
319	4391	11116
320	4405	11102
321	4418	11086
322	4432	11074
323	4444	11057
324	4459	11045
325	4471	11027
326	4485	11015
327	4496	10994
328	4521	11008
329	4535	10995
330	4551	10986
331	4564	10970
332	4579	10960
333	4592	10944
334	4606	10931
335	4619	10916
336	4632	10900
337	4647	10889
338	4659	10872
339	4674	10861
340	4686	10843
341	4700	10830
342	4713	10814
343	4728	10803
344	4740	10786
345	4755	10774
346	4767	10757
347	4781	10745
348	4794	10728
349	4807	10714
350	4820	10698
351	4835	10686
352	4847	10670
353	4862	10658
354	4874	10641
355	4888	10629
356	4901	10613
357	4915	10600
358	4928	10584
359	4943	10573
360	4956	10558
361	4970	10545
362	4984	10531
363	4998	10519
364	5011	10503
365	5025	10490
366	5038	10474
367	5052	10461
368	5065	10446
369	5078	10431
370	5091	10416
371	5103	10398
372	5117	10385
373	5129	10368
374	5144	10356
375	5156	10340
376	5171	10329
377	5183	10312
378	5196	10297
379	5209	10281
380	5223	10268
381	5235	10250
382	5248	10237
383	5261	10222
384	5275	10208
385	5286	10189
386	5320	10215
387	5334	10202
388	5350	10192
389	5363	10177
390	5378	10165
391	5391	10149
392	5405	10137
393	5417	10120
394	5432	10108
395	5444	10092
396	5459	10079
397	5471	10063
398	5486	10051
399	5497	10033
400	5511	10018
401	5522	10001
402	5537	9988
403	5548	9971
404	5566	9964
405	5582	9955
406	5598	9945
407	5611	9929
408	5625	9917
409	5638	9902
410	5653	9889
411	5665	9873
412	5699	9894
413	5712	9880
414	5727	9868
415	5741	9854
416	5756	9842
417	5769	9826
418	5784	9814
419	5797	9800
420	5809	9784
421	5825	9773
422	5837	9756
423	5850	9741
424	5863	9726
425	5877	9713
426	5890	9697
427	5904	9685
428	5919	9672
429	5933	9659
430	5947	9646
431	5977	9657
432	5990	9642
433	6004	9630
434	6016	9613
435	6030	9599
436	6043	9583
437	6059	9574
438	6073	9560
439	6089	9549
440	6102	9534
441	6117	9521
442	6130	9506
443	6145	9495
444	6158	9480
445	6174	9469
446	6187	9453
447	6201	9440
448	6214	9425
449	6228	9412
450	6242	9398
451	6257	9386
452	6271	9372
453	6286	9360
454	6306	9355
455	6322	9344
456	6352	9354
457	6368	9344
458	6383	9332
459	6396	9316
460	6410	9303
461	6424	9288
462	6439	9276
463	6453	9263
464	6467	9249
465	6491	9250
466	6507	9239
467	6523	9227
468	6536	9211
469	6551	9199
470	6572	9195
471	6590	9187
472	6603	9171
473	6617	9159
474	6629	9142
475	6645	9131
476	6658	9115
477	6672	9101
478	6684	9084
479	6698	9070
480	6710	9054
481	6726	9042
482	6740	9028
483	6755	9016
484	6768	9001
485	6789	8996
486	6803	8982
487	6817	8969
488	6830	8953
489	6846	8941
490	6858	8926
491	6873	8913
492	6886	8898
493	6900	8884
494	6913	8869
495	6930	8859
496	6944	8844
497	6958	8830
498	6971	8815
499	6986	8802
500	6998	8786
501	7012	8772
502	7024	8756
503	7039	8743
504	7052	8728
505	7066	8714
506	7079	8698
507	7093	8684
508	7105	8668
509	7118	8654
510	7130	8637
511	7144	8623
512	7157	8608
513	7170	8594
514	7183	8578
515	7198	8565
