Serial_Number,5000-6900,5000-6909,5000-6906,5000-6941,5000-6900N,5000-6937,5000-6912,5000-6926,5000-6930,5000-6903,5000-6911,5000-6916,5000-6905,5000-6960,5000-6914,Target_luster,Target_L,Target_a,Target_b
P05000A01C23M39,96.4,0.18,0.01,0.41,0,0,0,0,0,0,0,0,0,0,0,85.8,82.1,-0.9,1.8
GMPC05000190105,97.08,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,85.1,86.7,-1.1,1.2
P05000A01C23O38,95.56,0.21,0,0.16,0,0.02,0,0,0,0,0,0,0,0,0,80.6,86.7,-2.1,2.4
P05000A01C24D02,89.83,0,0.04,0.2,0,0,0,0,0,0,0,0.07,0,0,0,49.1,82.4,-0.7,2.1
GMPC05000020502,95.01,0.38,0,1.53,0,0,0,0.05,0.03,0,0,0,0,0,0,83.4,71.5,-1.6,0
GMPC05000192078,96.87,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,87.1,85.7,-1.5,0.6
P05000A01C25G30,86.97,0.27,0.43,3.52,0,0,0,0,0,0,0,0,0,0,0,38.5,60.1,-1.7,-0.4
P05000A01C23X43,91.03,1.62,0,0.71,0,0,0,0,0,0,0,0,0,0,0,62.8,76.2,0.1,5.4
P05000A01C23M66,90.33,2.13,0.19,1.27,0,0,0,0,0,0,0,0,0,0,0,73.6,71,0.1,4.2
P05000A01C23M67,90.94,3.17,0.16,0.85,0,0,0,0,0,0,0,0,0,0,0,77.9,73.8,1.2,8.8
GMPC05000181512,18.97,0,0,0,0,0,0,0,0,31.77,25.95,0,0,14.52,0,69.6,46.2,50.2,22.6
GMPC05000120250,0,0,0,0,4.61,0,57.54,0,0,0,34.85,0,0,0,0,77,52,47.1,39.9
GMPC05000060288,16.43,0,0,0.26,0,0,0,39.54,42.08,0,0,0,0,0,0,82,32.6,0.1,-24.5
GMPC05000060441,95.58,0,0,0,0,0,1.42,0,0,0,0,0,0,0,0,88.9,91,0,20.3
GMPC05000050247,26.01,0,0.54,0,0,0,66.57,0,3.95,0,0,0,0,0,0,78.2,58.4,-10.7,37
GMPC05000162174,93.55,0,0,2.54,0,0,0,0,0.44,0.62,0,0,0,0,0,79.4,64.6,-2,-3
GMPC05000162173,61.82,12.36,0,0,0,0,0,0,20.84,2.1,0,0,0,0,0,83.1,51.7,-19.8,-10.8
GMPC05000170457,92.22,2.58,0.33,0.75,0,0,0,0,0,0,0,0,0,0,0,79.1,75.1,-0.1,6.9
P05000A05C24C28,93,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,71.7,86.9,-1.7,1.5
GMPC05000870446,28.6,0,2.69,0,0,0,58.84,0,6.87,0,0,0,0,0,0,84.1,50,-9.2,25
GMPC05000870906,76.11,0,0,0,0,0,18.28,0,2.43,0.29,0,0,0,0,0,83,66.8,-13.5,26.7
GMPC05000870453,0,8.03,0,0,64.53,0,0,0.22,23.52,2.27,0,0,0,0,0,80,49.1,-18.7,-14.7
GMPC05000870836,24.21,0,0,0,0,0,72.25,0,0,0,0.8,0,0,0,0,78.3,73.7,20.9,69.4
GMPC05000870454,23.5,0,2.53,0,0,0,41.92,0,30.83,0,0,0,0,0,0,79.2,43.2,-21.7,11.5
GMPC05000870456,0,0,0,0,95.5,0,0.9,0,0.6,0,0,0,0,0,0,82.4,83.8,-12.6,2.1
GMPC05000111121,31.26,0,0,0,0,0,0,13.89,44.97,6.94,0,0,0,0,0,83.9,36.2,-5.7,-23.1
GMPC05000870471,17.54,0,2.49,0,0,48.93,25.24,0,0,0,0,0,0,0,0,76.6,42,-26.2,14.3
GMPC05000111585,93.56,2.41,0,0.96,0,0.16,0,0,0,0,0,0,0,0,0,82.5,74.3,-2,3.4
GMPC05000171558,95.12,1.31,0,0.39,0,0.01,0,0,0.17,0,0,0,0,0,0,86.7,79.3,-2.9,4.5
GMPC05000191159,66.21,2.23,0,15.77,0,8.83,0,0,4.02,0,0,0,0,0,0,82.7,40.4,-6.2,-2.9
P05000A08C20I32,25.69,9.33,20.15,9.33,0,32.6,0,0,0,0,0,0,0,0,0,81.3,33.4,-3.5,1.4
P05000A08C20I33,6.89,0,0,6.31,0,0,0,26.6,56.7,0,0,0,0,0,0,80.9,27.9,-1.1,-8
GMPC05000191196,0,0,0,86.61,0,0,0,0,0,0,0,0,0,0,0,5.7,24.5,-0.5,-0.8
GMPC05000010124,0,0,0,0,47.81,44.92,2.17,2.17,0,0,0,0,0,0,0,79.7,51.9,-38.7,3.7
GMPC05000870518,72.54,18.76,1.03,4.67,0,0,0,0,0,0,0,0,0,0,0,82,55.8,2.2,9.9
P05000B01C20C32,4.23,0,0.69,79.49,0,0,0,0,0,0,0,0,0,0,0,2.7,24.3,-0.4,-0.6
P05000B01C23O39,86.37,0,0.06,0.3,0,0,0,0,0,0,0,0,0,0,0,6.1,83,0.5,2
GMPC05000190646,0,0,0,0,0,0,96.83,0,0,0,0.17,0,0,0,0,81.6,76,20.7,81
P05000B01C23C43,70.28,13.88,1.74,1.92,0,0,0,0,0,0,0,0,0,0,0,11.4,60.4,4.8,12.7
P05000B01C25K06,29.28,15.09,19.39,0,0,0,0,0,0,0,33.24,0,0,0,0,81.4,48,36,23.1
P05000B01C25K07,84.82,0.8,0.27,1.42,0,0,0,0,0,0,0,0,0,0,0,9,67.8,-0.4,1.5
P05000B01C23J28,83.35,2.51,0.43,1.32,0,0,0,0,0,0,0,0,0,0,0,7.2,68.1,1,4.7
P05000B01C23O80,87.43,1.53,0,0.38,0,0,0,0,0,0,0,0,0,0,0,28.9,77.9,-0.2,7.1
GMPC05000191571,19.98,0,0,0,0,0,0,0,0,60.04,16.98,0,0,0,0,83.7,42.3,45.4,18.3
P05000B01C22U79,90.16,5.61,0.05,0.51,0,0,0,0,0,0,0,0,0,0,0,77.2,78.1,2.6,13.7
GMPC05000191570,95.73,1.16,0,0.06,0,0.05,0,0,0,0,0,0,0,0,0,82.8,87.8,-0.2,10
P05000B01C23G20,26.92,25.78,11.63,26.73,0,0,0,0,0,0,0,0,0,0,0,55.5,32.5,0.9,1.6
P05000B01C23C44,13,29.29,25.2,26.77,0,0,0,0,0,0,0,0,0,0,0,71.6,31.2,2.7,2.4
P05000B01C25D44,68.16,0,5.13,8.24,0,0,0,3.15,4.56,0,0,0,0,0,0,16,43.2,-1.1,-3.5
P05000B01C23A51,54.19,0,1.34,6.97,0,0,0,9.46,15.5,1.17,0,0,0,0,0,27.3,40.2,-7.3,-10.3
P05000B01C22R18,43.78,33.89,9.45,7.37,0,0,0,0,0,0,0,0,0,0,0,60.1,44.1,5.7,8.9
P05000B01C24L73,78.61,5.88,2.63,2.48,0,0,0,0,0,0,0,0,0,0,0,29.8,57.7,6.1,6.7
P05000B01C24O03,29.36,22.22,37.28,1.51,0,0,0,0,0,0,0,0,0,0,0,41.3,42.3,20,13.5
P05000B01C24L72,84.63,3.79,0.7,0.14,0,0,0,0,0,0,0,0,0,0,0,31,76.8,7.8,14.6
P05000B01C23F51,85.18,0,0,0.05,0,0,0.21,0,0,0.64,0.9,0,0,0,0,7.4,77.1,15.7,6.2
P05000B01C23F52,11.28,0,0,0.18,0,0,60.39,0,0,0,14.55,0,0,0,0,5.4,54.9,37.8,42.9
